HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
92241,91836,2016,10,6,6
382,382,2016,10,8,14
86281,85883,2016,10,9,22
90584,90214,2016,10,12,4
91082,90616,2016,10,14,8
62505,62227,2016,10,22,9
116136,115561,2016,10,24,23
285491,284579,2016,10,31,15
109606,109165,2016,11,24,13
87958,87629,2016,12,1,5
59587,59333,2016,12,4,10
104381,103940,2016,12,5,1
81190,80848,2016,12,10,4
55149,54901,2016,12,24,23
84013,83621,2017,1,24,10
170324,169419,2016,7,27,19
202045,201211,2016,7,29,14
220739,219907,2016,8,12,15
315162,314485,2016,8,15,12
120893,120311,2016,8,24,22
98255,97841,2016,9,10,13
98531,98087,2016,9,13,10
91487,91065,2016,10,9,13
107460,106928,2016,10,13,9
95007,94612,2016,10,24,2
89174,88782,2016,10,30,13
245355,244559,2016,12,8,15
93518,93119,2016,12,15,8
113161,112675,2017,1,18,23
185100,184411,2017,1,19,19
206676,205921,2017,1,23,18
85856,85452,2017,1,25,11
86657,86302,2017,1,26,11
101604,101118,2016,7,4,11
81792,81454,2016,7,11,4
108496,107974,2016,7,20,22
138884,138224,2016,7,22,20
107159,106635,2016,7,28,1
198120,197199,2016,8,3,16
98202,97752,2016,8,16,3
123882,123403,2016,8,31,11
231767,230930,2016,9,2,15
105723,105222,2016,9,15,2
78190,77812,2016,11,4,7
84945,84614,2016,11,7,4
98098,97606,2016,11,19,19
74670,74364,2017,1,8,13
82478,82099,2017,1,13,8
34500,34318,2016,6,1,5
58331,57995,2016,6,2,12
47137,46882,2016,6,2,21
23622,23519,2016,6,5,1
30824,30668,2016,6,10,22
22760,22665,2016,6,12,2
37467,37282,2016,6,13,22
40316,40090,2016,6,14,22
32159,31989,2016,6,21,2
41810,41568,2016,6,22,10
64927,64528,2016,6,22,13
69529,69138,2016,6,22,14
163463,162939,2016,7,8,12
93278,92765,2016,7,12,8
66638,66299,2016,7,30,7
81901,81526,2016,8,7,12
90314,89852,2016,8,12,7
268029,267172,2016,8,25,13
274953,274343,2016,9,12,12
215053,214242,2016,9,28,13
124176,123667,2016,10,6,22
62049,61759,2016,10,22,6
96657,96271,2016,11,1,1
81340,80974,2016,12,2,6
106986,106546,2016,12,6,2
89566,89137,2016,12,7,8
90807,90412,2016,12,8,7
131858,131404,2016,12,9,12
92109,91726,2016,12,12,9
76873,76481,2016,12,25,21
99032,98596,2016,7,7,23
68399,68043,2016,7,17,0
60432,60083,2016,7,23,7
69290,68946,2016,7,31,2
230030,229256,2016,9,2,14
100637,100145,2016,9,2,22
100270,99767,2016,9,4,15
213229,212356,2016,9,13,16
104894,104343,2016,9,14,2
89242,88836,2016,9,15,4
254191,253374,2016,9,16,13
182139,181365,2016,9,20,20
107473,106974,2016,9,22,2
80692,80306,2016,9,24,23
245259,244333,2016,9,29,16
100754,100326,2016,10,2,13
111249,110813,2016,10,13,2
211653,210763,2016,10,26,14
141798,141329,2016,11,25,13
100305,99828,2016,12,4,19
91535,91159,2016,12,19,4
99561,99099,2016,12,29,23
63023,62742,2017,1,28,4
54543,54303,2017,1,29,6
52202,51976,2017,1,29,7
60328,59998,2016,6,8,17
40213,39993,2016,6,17,8
37228,37015,2016,6,24,21
101274,100753,2016,6,28,8
113407,112859,2016,7,21,22
117201,116580,2016,7,22,21
160848,160268,2016,8,4,11
107570,106987,2016,8,6,17
96076,95605,2016,8,11,4
92433,91971,2016,8,17,6
73263,72870,2016,8,28,2
62430,62082,2016,8,28,6
105573,105049,2016,8,28,16
80879,80516,2016,11,4,8
83152,82765,2016,11,8,4
96013,95578,2016,12,29,0
72038,71699,2017,1,2,0
148593,148039,2017,1,12,22
65222,64972,2017,1,22,12
72768,72431,2017,1,28,23
34820,34653,2016,6,1,0
65187,64814,2016,6,16,16
36658,36468,2016,6,17,21
57511,57141,2016,6,21,17
70363,69983,2016,7,9,23
60030,59727,2016,7,23,9
127408,126933,2016,8,8,10
101611,101027,2016,8,10,8
155412,154750,2016,8,19,20
100985,100434,2016,8,20,19
105744,105247,2016,8,28,18
83243,82868,2016,9,3,0
88523,88162,2016,9,4,13
108887,108433,2016,9,7,23
81079,80704,2016,9,13,4
96601,96155,2016,9,23,7
61993,61717,2016,10,8,8
185131,184382,2016,10,10,19
101570,101113,2016,10,19,10
79343,79038,2016,11,2,5
73470,73122,2016,11,5,2
121885,121355,2016,11,25,18
213404,212678,2017,1,30,17
163856,163286,2017,1,30,21
71575,71165,2016,7,2,23
154022,153311,2016,7,8,19
92334,91819,2016,7,19,8
74875,74460,2016,7,23,2
100181,99610,2016,7,28,9
174545,173702,2016,7,29,18
100416,99912,2016,8,7,19
139416,138899,2016,8,9,11
106958,106434,2016,8,11,9
86998,86595,2016,8,19,7
112329,111821,2016,8,25,1
238094,237217,2016,9,1,16
228218,227521,2016,9,2,13
121870,121409,2016,9,8,11
99749,99332,2016,9,9,10
168640,167969,2016,9,9,20
59513,59236,2016,9,10,9
54973,54719,2016,9,11,8
102050,101577,2016,9,13,2
107623,107144,2016,9,16,1
100878,100367,2016,9,20,9
111959,111459,2016,9,25,19
97708,97210,2016,9,28,7
62902,62600,2016,10,9,9
73045,72715,2016,10,30,1
89304,88864,2016,11,8,9
83928,83504,2016,11,9,8
117341,116827,2016,12,13,23
89725,89283,2016,12,18,21
152815,152170,2016,12,21,18
132038,131626,2016,12,23,13
60657,60420,2016,12,24,22
81190,80775,2016,6,25,1
187483,186790,2016,7,1,13
127941,127309,2016,7,7,21
98888,98383,2016,7,13,1
184035,183195,2016,7,13,13
94274,93800,2016,7,21,7
80095,79696,2016,8,2,5
197891,197023,2016,8,2,15
105794,105234,2016,8,3,3
104098,103604,2016,8,5,2
98924,98484,2016,8,15,2
194652,193803,2016,8,24,17
103633,103146,2016,8,30,2
251455,250456,2016,9,27,15
229690,228772,2016,9,28,14
114043,113546,2016,10,14,0
192671,191904,2016,10,28,18
78723,78383,2016,11,25,2
112992,112462,2016,12,26,19
86027,85651,2017,1,4,4
77142,76787,2017,1,6,10
84452,84084,2017,1,10,6
93666,93257,2017,1,15,21
98100,97715,2017,1,21,15
26278,26154,2016,6,4,0
26368,26262,2016,6,10,23
24271,24150,2016,6,18,20
58001,57668,2016,6,20,18
40576,40350,2016,6,23,10
67786,67448,2016,6,26,4
95267,94814,2016,7,7,0
80309,79898,2016,7,10,23
62847,62538,2016,7,23,10
194174,193222,2016,7,28,18
126392,125688,2016,8,2,22
99851,99419,2016,8,22,2
196502,195676,2016,8,31,16
109821,109370,2016,9,1,10
79746,79359,2016,9,10,1
249652,248715,2016,9,30,15
68169,67816,2016,10,1,9
110304,109827,2016,10,6,23
91538,91161,2016,10,7,23
72348,71995,2016,10,9,1
61452,61191,2016,10,23,6
60711,60436,2016,10,23,7
169300,168562,2016,11,2,20
71871,71539,2016,11,20,2
214864,214099,2016,12,1,18
71704,71377,2016,12,18,1
66079,65790,2016,12,24,3
82696,82320,2017,1,5,7
66321,66023,2017,1,7,5
81866,81507,2017,1,31,10
63514,63106,2016,6,1,17
46269,45995,2016,6,7,11
22206,22111,2016,6,11,7
31460,31296,2016,6,17,1
93237,92746,2016,6,29,6
172739,171942,2016,7,5,19
112645,112185,2016,7,6,11
90473,90052,2016,7,11,6
98349,97907,2016,7,12,0
188035,187190,2016,7,14,16
100347,99845,2016,7,16,14
80866,80474,2016,7,19,5
90454,90041,2016,7,25,3
111957,111449,2016,8,23,23
77898,77553,2016,9,25,3
138854,138280,2016,9,29,22
111398,110960,2016,10,10,10
53616,53370,2016,11,6,7
83869,83506,2016,11,7,6
108132,107659,2016,12,7,0
180036,179328,2016,12,16,17
107095,106615,2016,12,17,16
97372,96943,2017,1,8,16
90180,89750,2017,1,16,8
22532,22438,2016,6,11,22
45375,45148,2016,6,22,11
160488,159737,2016,7,15,17
96129,95644,2016,7,17,15
82756,82283,2016,7,30,4
90537,90149,2016,11,6,22
89224,88811,2016,11,22,6
102385,101954,2016,11,29,3
127988,127490,2016,12,29,13
55896,55655,2017,1,29,11
95045,94667,2017,1,29,17
65481,65136,2016,6,9,13
58000,57684,2016,6,10,13
44183,43908,2016,6,13,9
41391,41157,2016,6,13,10
144597,143889,2016,7,25,21
227118,226229,2016,8,12,14
82277,81874,2016,8,14,12
277065,276194,2016,9,1,13
267706,266729,2016,9,1,15
370943,370069,2016,9,6,13
110722,110213,2016,9,13,1
84175,83777,2016,9,13,6
111358,110829,2016,9,15,1
263672,262918,2016,10,6,13
100843,100414,2016,10,13,6
144565,143992,2016,11,25,15
244210,243515,2016,12,8,14
93230,92747,2016,12,14,8
115801,115333,2016,12,14,23
