HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
162285,161642,2017,2,3,19
63951,63686,2017,2,19,3
85128,84754,2017,1,26,3
162541,161752,2017,2,27,12
178763,178025,2017,1,18,18
83572,83188,2017,1,24,9
80282,79911,2017,2,19,20
147868,147284,2017,2,20,19
98425,97952,2017,1,8,17
87306,86873,2017,1,17,8
63789,63556,2017,2,12,12
144170,143617,2017,2,21,21
151925,150989,2017,2,24,20
84368,83828,2017,2,28,4
165290,164588,2017,1,24,20
159514,158922,2017,2,2,21
209589,208994,2017,2,9,14
80730,80333,2017,2,14,9
87589,87192,2017,2,21,2
73064,72609,2017,2,25,2
123551,123143,2017,1,6,12
90156,89768,2017,1,12,6
180528,179798,2017,2,15,16
215499,214802,2017,2,16,15
100839,100397,2017,1,5,0
153715,153191,2017,1,5,13
54929,54673,2017,1,8,9
88874,88474,2017,1,9,8
209242,208458,2017,1,9,19
236983,236189,2017,1,12,15
81247,80921,2017,1,13,5
68387,68136,2017,1,15,12
87946,87526,2017,1,19,9
78268,77940,2017,1,24,6
72353,72076,2017,1,26,6
65673,65373,2017,1,29,3
232973,232208,2017,2,13,16
178972,178500,2017,2,16,13
154343,153695,2017,1,4,21
69449,69170,2017,1,21,4
80564,80207,2017,1,24,8
197089,196435,2017,2,7,14
77411,77084,2017,2,14,7
82133,81778,2017,1,5,5
66854,66565,2017,1,29,1
120931,120448,2017,1,31,22
167433,166755,2017,2,8,17
198238,197663,2017,2,10,14
81296,80917,2017,2,14,10
73513,73182,2017,2,17,8
103142,102701,2017,2,17,22
168423,167781,2017,2,22,17
135066,134562,2017,1,26,22
84410,84020,2017,2,5,21
75082,74781,2017,2,21,5
60325,60100,2017,1,7,11
89788,89378,2017,1,11,7
182858,182157,2017,1,25,15
54452,54208,2017,2,4,7
81925,81554,2017,2,7,4
68628,68223,2017,2,26,0
182744,181574,2017,2,28,17
99735,99323,2017,2,4,16
84774,84379,2017,2,6,8
77862,77556,2017,2,8,6
80901,80609,2017,2,16,4
105856,105436,2017,1,19,0
129085,128556,2017,1,24,22
164434,163855,2017,1,26,21
77785,77491,2017,2,4,13
91569,91197,2017,2,9,11
51751,51514,2017,2,11,9
82012,81673,2017,2,13,4
102176,101711,2017,1,15,18
136671,136186,2017,1,17,22
197990,197245,2017,1,18,15
97231,96803,2017,1,22,17
183807,183112,2017,1,5,14
182956,182257,2017,1,6,18
63299,63024,2017,1,14,5
80498,80136,2017,1,18,6
68582,68197,2017,2,25,12
88298,87728,2017,2,25,20
83109,82552,2017,2,25,21
81005,80632,2017,1,25,10
54150,53937,2017,1,1,12
212534,211788,2017,1,6,16
116660,116176,2017,1,12,1
89647,89312,2017,1,16,6
91020,90472,2017,2,25,19
113909,113241,2017,2,27,23
83359,83012,2017,1,8,14
53955,53697,2017,1,14,8
179543,179059,2017,1,26,13
52122,51891,2017,1,28,10
68661,68258,2017,2,26,3
78008,77698,2017,2,12,23
121817,121419,2017,2,23,12
88097,87432,2017,2,27,9
96474,95996,2017,1,8,20
77750,77406,2017,1,20,8
90070,89701,2017,2,7,11
175399,174703,2017,2,7,18
53695,53445,2017,2,11,7
53664,53409,2017,2,18,7
179332,178691,2017,1,9,21
54847,54615,2017,1,21,9
134954,134114,2017,2,24,21
58031,57744,2017,1,1,1
192028,191281,2017,1,17,19
192418,191718,2017,1,19,17
94873,94509,2017,1,20,23
187636,186942,2017,1,23,20
55849,55591,2017,1,7,10
85928,85536,2017,1,10,7
200300,199610,2017,1,24,14
195691,195005,2017,1,31,16
86552,85926,2017,2,28,10
151915,150896,2017,2,28,21
174803,174086,2017,1,13,19
179386,178848,2017,1,19,13
106629,106248,2017,1,25,12
274680,274008,2017,2,6,14
82550,82172,2017,2,7,8
79470,79144,2017,2,8,7
77007,76651,2017,2,14,6
78465,78158,2017,2,5,22
75688,75373,2017,2,22,5
177751,177027,2017,1,18,19
188268,187545,2017,1,19,18
83209,82861,2017,1,31,3
88691,88283,2017,2,5,20
89228,88810,2017,2,12,20
79268,78976,2017,2,20,5
142361,141968,2017,2,20,12
79254,78944,2017,1,29,14
58104,57866,2017,2,4,11
78050,77678,2017,2,4,22
68595,68291,2017,2,5,0
64742,64458,2017,2,11,4
80887,80555,2017,2,22,4
127918,127112,2017,2,28,22
231611,230819,2017,1,12,16
148790,148364,2017,1,16,12
92543,92171,2017,1,27,23
84983,84647,2017,1,21,0
51178,50976,2017,1,28,7
154731,154112,2017,2,8,20
129252,128774,2017,2,9,22
139480,138867,2017,2,14,21
84051,83705,2017,2,20,8
224417,223784,2017,2,21,14
83843,83481,2017,2,22,9
54828,54583,2017,1,1,2
73660,73300,2017,1,2,1
139856,139275,2017,1,20,21
90791,90366,2017,1,21,20
89843,89476,2017,2,1,1
155003,154439,2017,2,9,21
82006,81620,2017,2,21,9
82586,82282,2017,2,24,11
83316,82920,2017,1,3,8
71199,70864,2017,1,8,3
101685,101280,2017,2,23,23
94455,93813,2017,2,25,18
72261,71845,2017,2,25,23
71587,71227,2017,1,22,0
78609,78251,2017,1,25,8
90919,90527,2017,1,26,2
55021,54666,2017,2,25,9
67867,67437,2017,2,26,1
81022,80626,2017,1,25,9
114041,113592,2017,1,27,22
67788,67400,2017,2,26,2
90406,90018,2017,1,14,0
84851,84475,2017,1,22,23
141128,140610,2017,1,23,22
65663,65378,2017,2,12,0
198719,197499,2017,2,28,14
130083,129611,2017,1,2,14
177340,176600,2017,1,6,19
100973,100468,2017,1,7,19
78347,77967,2017,1,14,2
82944,82589,2017,1,19,6
84208,83867,2017,1,19,7
169669,169071,2017,2,1,14
