HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
80939,80337,2017,3,25,12
96582,95996,2017,3,30,23
70727,70394,2017,1,2,9
91780,91406,2017,1,9,2
207151,206329,2017,1,11,15
107205,106724,2017,1,14,17
63146,62881,2017,1,15,11
250821,250100,2017,1,17,14
166823,166116,2017,1,18,20
174035,173362,2017,1,20,18
244067,243326,2017,1,30,16
79723,79361,2017,2,1,9
95269,94899,2017,2,9,1
125625,125157,2017,2,16,22
112145,111726,2017,2,20,22
181795,181032,2017,2,22,16
151975,151377,2017,2,22,20
120771,120003,2017,3,8,22
89940,89326,2017,3,22,8
44411,44222,2017,1,1,9
94768,94400,2017,1,9,1
156770,156312,2017,1,9,12
96406,95954,2017,1,12,9
68030,67723,2017,2,11,23
87513,87086,2017,2,18,18
89613,89270,2017,2,23,11
183956,182778,2017,3,6,20
185066,183880,2017,3,13,19
86770,86292,2017,3,19,13
85416,84830,2017,3,20,6
179514,178283,2017,3,30,19
186244,185560,2017,2,2,19
62003,61740,2017,2,19,2
155488,154484,2017,3,7,21
86656,86038,2017,3,21,7
179536,178313,2017,4,4,18
171522,170771,2017,1,5,19
90215,89853,2017,1,7,14
55498,55233,2017,1,14,7
82948,82624,2017,1,19,5
189555,188873,2017,2,2,18
61478,61250,2017,2,4,5
83099,82745,2017,2,4,21
66762,66488,2017,2,5,4
67476,67175,2017,2,18,2
65523,65205,2017,2,18,23
78588,78252,2017,2,21,4
169606,168988,2017,2,23,18
122325,121669,2017,3,10,12
56515,56170,2017,3,12,10
61716,61333,2017,4,2,5
80945,80447,2017,4,2,21
89940,89354,2017,4,5,2
79360,78952,2017,4,8,12
59512,59161,2017,4,9,10
220734,219865,2017,1,10,15
94548,94163,2017,1,14,14
60650,60401,2017,1,15,10
100961,100538,2017,1,15,17
244472,243725,2017,1,17,15
72484,72183,2017,1,27,5
50800,50585,2017,1,28,9
179070,178361,2017,1,31,17
63646,63265,2017,2,26,5
167208,166076,2017,3,6,21
82019,81510,2017,3,18,22
83168,82602,2017,3,21,6
178673,177438,2017,3,22,18
133275,132763,2017,2,10,21
82300,81916,2017,2,19,19
81636,81278,2017,2,21,10
54491,54126,2017,2,26,10
69528,68968,2017,3,26,3
134721,133849,2017,3,30,21
181256,180118,2017,4,7,16
166651,165939,2017,1,25,19
217310,216724,2017,1,26,14
174646,174194,2017,1,27,13
75811,75503,2017,2,18,0
73792,73468,2017,2,24,10
95371,94741,2017,3,4,18
57665,57273,2017,3,5,7
79679,79197,2017,3,7,5
67931,67511,2017,3,18,4
118065,117359,2017,3,27,22
187545,186339,2017,3,28,17
196547,195231,2017,4,3,18
78739,78281,2017,4,9,13
78155,77790,2017,1,1,21
81777,81425,2017,1,21,1
79367,79003,2017,1,26,9
182782,182052,2017,2,8,15
77224,76861,2017,2,15,8
132211,131375,2017,3,16,22
186966,185690,2017,3,22,16
74640,74087,2017,3,26,12
83921,83492,2017,1,4,8
71562,71242,2017,1,8,4
184599,184037,2017,1,10,13
84812,84455,2017,1,13,10
111043,110610,2017,1,19,23
200038,199301,2017,1,23,19
102798,102412,2017,1,30,11
87881,87495,2017,2,6,10
71819,71515,2017,2,10,6
89925,89389,2017,3,10,11
55150,54817,2017,3,11,10
58033,57677,2017,4,1,8
126485,125630,2017,4,5,21
72809,72410,2017,4,8,1
106152,105726,2017,1,3,11
99961,99527,2017,1,11,3
83459,83075,2017,2,7,9
81775,81448,2017,2,9,7
117899,117531,2017,2,10,12
172002,171379,2017,2,10,17
53347,53146,2017,2,12,10
118632,118159,2017,2,15,22
74981,74620,2017,2,17,10
184689,183985,2017,2,22,15
88529,87865,2017,3,1,11
94771,94173,2017,3,5,17
87954,87391,2017,3,5,21
88093,87437,2017,3,7,8
84277,83677,2017,3,8,7
74921,74514,2017,3,11,1
76078,75608,2017,3,17,5
78469,77984,2017,3,21,5
94803,94105,2017,4,4,9
64529,64136,2017,4,9,4
202847,202176,2017,1,27,15
52699,52481,2017,1,29,10
74306,74016,2017,1,31,5
92165,91763,2017,2,21,0
167264,166123,2017,4,4,19
93404,92800,2017,4,7,9
